index1,link,report_date,firm_name_1,final_firm_location_1,firm_size_1,firm_name_2,final_firm_location_2,firm_size_2,merge_date
0,https://www.law.com/ctlawtribune/2021/01/01/the-only-real-choice-merger-expands-teams-at-2-shoreline-firms/,01/01/21,Brody Wilkinson,"Southport, Connecticut",21.0,Hermenze & Marcantonio,"Westport, Connecticut",3.0,
1,https://www.law.com/americanlawyer/2021/01/04/midwest-merger-push-continues-in-2021-as-dinsmore-announces-acquisition/?kw=Midwest%20Merger%20Push%20Continues%20in%202021%20As%20Dinsmore%20Announces%20Acquisition&utm_source=email&utm_medium=enl&utm_campaign=newsroomupdate&utm_content=20210104&utm_term=tal,01/04/21,Dinsmore & Shohl,"Cincinnati, Ohio",656.0,Wooden McLaughlin,"Indianapolis, Indiana",47.0,
2,https://www.law.com/newyorklawjournal/2021/01/05/milberg-mergers-with-3-plaintiff-firms-to-form-international-law-practice/,01/05/21,Milberg Phillips Grossman,"New York, New York",20.0,Sanders Phillips Grossman,"Garden City, New York",40.0,
3,https://www.law.com/newyorklawjournal/2021/01/05/milberg-mergers-with-3-plaintiff-firms-to-form-international-law-practice/,01/05/21,Milberg Phillips Grossman,"New York, New York",20.0,Greg Coleman Law,"Knoxville, Tennessee",12.0,
4,https://www.law.com/newyorklawjournal/2021/01/05/milberg-mergers-with-3-plaintiff-firms-to-form-international-law-practice/,01/05/21,Milberg Phillips Grossman,"New York, New York",20.0,Whitfield Bryson,"Raleigh, North Carolina",15.0,
5,https://plus.lexis.com/api/permalink/53d5bafe-9770-47c5-8791-164221178efc/?context=1530671,1/24/2021,Shadle & White PLC,"Yuma, Arizona",3.0,Benesch & Davy,"Yuma, Arizona",2.0,1/4/2021
6,https://www.theindianalawyer.com/articles/indy-law-firms-join-forces-form-waldron-tate-bowen-funk-spandau,1/29/21,Tate Bowen Funk & Spandau,"Indianapolis, Indiana",4.0,Waldron Law,"Indianapolis, Indiana",2.0,
7,https://www.doidacrow.com/doida-law-group-merges-with-crow-legal-and-introduces-doida-crow-legal-llc/,02/01/21,Doida Law Group,"Greenwood Village, Colorado",3.0,Crow Legal,"Denver, Colorado",3.0,
8,https://rejournals.com/cleveland-law-firms-buckley-king-and-miller-goler-faeges-lapine-combine/,02/02/21,Buckley King,"Cleveland, Ohio",25.0,Miller Goler Faeges Lapine,"Cleveland, Ohio",6.0,1/13/2021
9,https://www.pasadenanow.com/main/law-offices-merge-to-create-largest-firm-in-pasadena/,02/03/21,Primuth Driskell and Terzian,"Pasadena, California",14.0,Phelps Law Group,"Pasadena, California",3.0,
