legacy_id,name,firm,practice,date,award
1390916,Ranga Sudarshan,Covington & Burling,['Technology'],2021,Rising Stars
1390914,Leila George-Wheeler,Holland & Knight,['Compliance'],2021,Rising Stars
1390461,Zachary Zweihorn,Davis Polk,['Fintech'],2021,Rising Stars
1390459,Emily Roberts,Davis Polk,['Technology'],2021,Rising Stars
1390457,Richard Fry,Buckingham Doolittle,['Tax'],2021,Rising Stars
1390047,Sarah Shtylman,Perkins Coie,['Fintech'],2021,Rising Stars
1390044,Brock Bosson,Cahill Gordon,['Compliance'],2021,Rising Stars
1390042,Matan Shacham,Keker Van Nest,['Telecommunications'],2021,Rising Stars
1390006,Lisa Mazur,McDermott Will,['Health'],2021,Rising Stars
1390005,Nicholas Soltman,Kinsella Weitzman,['Media & Entertainment'],2021,Rising Stars
1390004,Jeremy Chase,Davis Wright Tremaine,['Media & Entertainment'],2021,Rising Stars
1389531,Tristan Morales,O'Melveny & Myers,['Transportation'],2021,Rising Stars
1389530,Rebecca Baden Chaney,Crowell & Moring,['Transportation'],2021,Rising Stars
1389529,Sara Weed,Paul Hastings,['Fintech'],2021,Rising Stars
1389528,Shanti Sadtler Conway,Kirkland & Ellis,['Media & Entertainment'],2021,Rising Stars
1389526,Eric Greig,Latham & Watkins,['Health'],2021,Rising Stars
1389524,Chade Severin,Skadden,['Life Sciences'],2021,Rising Stars
1389522,Stephanie Bell,Wiley Rein,['International Trade'],2021,Rising Stars
1389519,Jonathan A. Havens,Saul Ewing,['Cannabis'],2021,Rising Stars
1389518,Jarrett Hoffman,Paul Weiss,['Benefits'],2021,Rising Stars
1389516,Jamal Fulton,Cleary Gottlieb,['Fund Formation'],2021,Rising Stars
1389515,Jing Zhang,Mayer Brown,['International Trade'],2021,Rising Stars
1389511,Kelly L. Frey,Mintz Levin,['Real Estate'],2021,Rising Stars
1389498,Josh Winefsky,Kramer Levin,['Real Estate'],2021,Rising Stars
1389492,Liang-Ying Tan,Herbert Smith,['International Arbitration'],2021,Rising Stars
1389486,Brian Awe,DLA Piper,['Real Estate'],2021,Rising Stars
1389176,Zachary Fayne,Arnold & Porter,['Environmental'],2021,Rising Stars
1389175,Lauren M. Colasacco,Kirkland & Ellis,['Private Equity'],2021,Rising Stars
1389174,Kerry L. McGrath,Hunton Andrews,['Environmental'],2021,Rising Stars
1389173,Jonathan Hardin,Perkins Coie,['Insurance'],2021,Rising Stars
1389172,Carla Weiss,Jenner & Block,['Government Contracts'],2021,Rising Stars
1389171,Stephen Blake,Simpson Thacher,['Securities'],2021,Rising Stars
1389170,Naeun Rim,Bird Marella,['White Collar'],2021,Rising Stars
1389169,Jeeho Lee,O'Melveny & Myers,['Capital Markets'],2021,Rising Stars
1389168,Tom Gorman,Keker Van Nest,['Intellectual Property'],2021,Rising Stars
1389166,Camille C. Bent,BakerHostetler,['Bankruptcy'],2021,Rising Stars
1389123,C. Daniel Haaren,Cravath Swaine,['Capital Markets'],2021,Rising Stars
1389104,Ashley F. Heintz,Jones Day,['Securities'],2021,Rising Stars
1389097,Abe Alexander,Bernstein Litowitz,['Securities'],2021,Rising Stars
1389063,Adam Paterno,Holland & Knight,['Construction'],2021,Rising Stars
1389062,Matthew Goldstein,Paul Weiss,['Fund Formation'],2021,Rising Stars
1389058,Jaime Santos,Goodwin Procter,['Benefits'],2021,Rising Stars
1388731,Laurence Bary,Dechert,['Competition'],2021,Rising Stars
1388723,Katie St. Peters,Kirkland & Ellis,['Fund Formation'],2021,Rising Stars
1388703,Daniel Lynch,Akin Gump,['Project Finance'],2021,Rising Stars
1388702,Avelina Burbridge,Skadden,['Real Estate'],2021,Rising Stars
1388699,Anisha Sud,King & Spalding,['International Arbitration'],2021,Rising Stars
